FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
aztecz1.filer.z1.tdn.hzl.ilx.com,10.181.194.32/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.59/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.main.z1.tdn.hzl.ilx.com,10.181.192.59/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,aztecserverz1,PROD,PRODHYPER,Business Site,YES
aztecz1.out.z1.tdn.hzl.ilx.com,10.53.22.59/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,aztecserverz1,PROD,PRODHYPER,Business Site,YES
baffyz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.199/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1a,ARBI10,ARBI10,Business Silo,
baffyz1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.133/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz1a,ETG,ETG,Business Site,
baffyz1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.133/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz1a,ETG,ETG,Business Site,
baffyz1.filer.z1.tdn.hzl.ilx.com,10.181.194.34/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.19/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz1a,GTDL,GTDL,Business Site,
baffyz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.61/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.log.z1.tdn.hzl.ilx.com,10.179.3.74/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,itcfepcz1a,LOG,LOG,Business Silo,
baffyz1.main.z1.tdn.hzl.ilx.com,10.181.192.61/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
baffyz1.out.z1.tdn.hzl.ilx.com,10.53.22.61/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
blondz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.63/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.main.z1.tdn.hzl.ilx.com,10.181.192.63/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.out.z1.tdn.hzl.ilx.com,10.53.22.63/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,tdngatez1,PROD,PRODPDNHYPER,Business Site,YES
blondz1.sec1.z1.tdn.hzl.ilx.com,162.8.96.38/27,SEC1,162.8.96.32/27,162.8.96.63,HDC-SECURE-LAN,2244,tdngatez1,NETCOMMS,PRODPDNHYPER,Business Site,YES
brassiez1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.200/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1a,ARBI10,ARBI10,Business Silo,
brassiez1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.135/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz1a,ETG,ETG,Business Site,
brassiez1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.135/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz1a,ETG,ETG,Business Site,
brassiez1.filer.z1.tdn.hzl.ilx.com,10.181.194.36/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.21/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz1a,GTDL,GTDL,Business Site,
brassiez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.64/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.log.z1.tdn.hzl.ilx.com,10.179.3.75/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,itcfepcz1a,LOG,LOG,Business Silo,
brassiez1.main.z1.tdn.hzl.ilx.com,10.181.192.64/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
brassiez1.out.z1.tdn.hzl.ilx.com,10.53.22.64/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz1a,PROD,PRODHYPER,Business Site,YES
bsdsrvz1.apphost.z1.tdn.hzl.ilx.com,162.8.248.5/27,APPHOST,162.8.248.0/27,162.8.248.31,HDC-APPHOST-LAN,2247,netsrvz1,NETCOMMS,PRODPDNHYPER,Business Site,YES
bsdsrvz1.filer.z1.tdn.hzl.ilx.com,10.181.194.38/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.66/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.main.z1.tdn.hzl.ilx.com,10.181.192.66/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bsdsrvz1.out.z1.tdn.hzl.ilx.com,10.53.22.66/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,netsrvz1,PROD,PRODPDNHYPER,Business Site,YES
bunkerz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.201/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,itcfepcz1b,ARBI10,ARBI10,Business Silo,
